Point Name,X,Y,Z,LAT
P669,-21.7551,29.4229,155.154,29
P670,7.38994,1.49585,147.759,-26
P671,5.71253,11.0825,156.391,-4
P672,0.146271,18.479,160.684,14
P673,-8.54563,23.7337,161.51,-10000
P674,-18.166,25.8336,158.714,30
P675,6.25658,-1.26648,149.435,30
P676,5.14186,8.50953,157.934,19
P677,0.0393085,16.129,162.495,18
P678,-8.42208,21.529,164.435,23
P679,-18.3939,23.6094,163.365,28
P680,-3.97067,3.55915,143.178,-74
P681,0.325294,12.0694,151.857,-52
P682,-1.45987,20.1514,157.789,-34
P683,-7.75153,27.3521,161.242,-34
P684,-16.9659,31.6801,161.469,14
P685,-3.48543,1.04494,145.295,-62
P686,3.12205,8.12923,153.791,-35
P687,3.16451,15.9733,160.188,-23
P688,-2.09436,23.5942,164.094,-31
P689,-11.0196,28.2503,164.209,-10000
P690,-3.89513,2.65296,144.212,38
P691,2.09406,9.93052,152.984,24
P692,1.4639,17.5698,159.592,20
P693,-4.41499,24.6205,163.733,19
P694,-13.6402,28.754,164.116,57
P695,1.8962,10.8715,151.963,23
P696,1.07631,18.5629,158.491,19
P697,-4.9709,25.4941,162.561,18
P698,-14.357,29.1699,162.896,-10000
